               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.040835,            0.085866,          0.00088657,             0.97128,             0.88607,             0.95093,              0.7785,            0.031344,            0.039124,          0.00040359,            0.008845,            0.008845,            0.008845
                  37,            0.040846,            0.086161,          0.00092552,             0.96432,             0.87955,             0.94704,              0.7571,            0.031991,            0.039604,           0.0004405,            0.008812,            0.008812,            0.008812
                  38,            0.040718,            0.086063,          0.00093793,             0.97332,             0.88549,             0.95974,             0.78576,             0.03118,             0.03846,          0.00045013,            0.008779,            0.008779,            0.008779
                  39,             0.04109,            0.085789,          0.00089375,             0.97303,             0.88398,             0.94431,             0.78093,             0.03097,            0.038506,          0.00044231,            0.008746,            0.008746,            0.008746
                  40,            0.040908,             0.08557,          0.00089595,             0.97098,             0.89187,             0.94651,             0.77248,            0.031712,            0.038467,           0.0004529,            0.008713,            0.008713,            0.008713
                  41,            0.040433,            0.085573,          0.00092083,             0.97186,             0.87625,             0.94776,             0.76782,            0.031955,             0.03801,          0.00036879,             0.00868,             0.00868,             0.00868
                  42,            0.040312,            0.085626,          0.00087533,             0.97528,             0.89896,             0.95433,             0.77718,            0.031519,            0.037552,          0.00038652,            0.008647,            0.008647,            0.008647
                  43,            0.040411,            0.084722,          0.00088149,             0.97446,             0.88996,             0.95084,             0.78806,            0.030545,            0.037689,          0.00037279,            0.008614,            0.008614,            0.008614
                  44,             0.04057,            0.085473,          0.00089479,             0.96971,             0.90775,              0.9485,             0.76758,            0.031418,            0.037483,          0.00042229,            0.008581,            0.008581,            0.008581
                  45,            0.040464,            0.085077,          0.00089314,             0.97239,             0.89905,             0.95019,             0.78335,             0.03046,            0.038979,           0.0004117,            0.008548,            0.008548,            0.008548
                  46,            0.040414,            0.085344,          0.00092012,              0.9719,             0.89265,             0.95673,             0.78747,            0.030583,            0.038208,          0.00038204,            0.008515,            0.008515,            0.008515
                  47,             0.04044,            0.085155,          0.00086006,             0.97199,              0.8826,             0.95016,             0.78742,            0.030583,            0.037415,          0.00039492,            0.008482,            0.008482,            0.008482
                  48,             0.04012,            0.084226,          0.00087434,             0.97365,             0.88603,             0.95194,             0.78184,            0.030729,            0.037857,          0.00037889,            0.008449,            0.008449,            0.008449
                  49,            0.040341,             0.08414,          0.00090429,             0.97304,             0.89616,             0.95043,             0.78573,            0.030511,             0.03743,          0.00040092,            0.008416,            0.008416,            0.008416
                  50,            0.040194,            0.084945,          0.00085764,             0.97067,             0.90482,             0.95731,             0.79238,            0.030689,            0.037148,          0.00037317,            0.008383,            0.008383,            0.008383
                  51,            0.040001,            0.084024,          0.00083033,             0.97528,             0.89313,             0.95257,             0.78851,            0.030616,            0.037369,          0.00037651,             0.00835,             0.00835,             0.00835
                  52,            0.039943,            0.083542,          0.00085458,             0.97336,             0.90309,              0.9606,             0.79258,            0.030711,             0.03717,           0.0003933,            0.008317,            0.008317,            0.008317
                  53,            0.039936,            0.083724,          0.00088117,             0.97493,             0.90411,             0.95382,             0.78269,            0.031013,            0.036285,          0.00037804,            0.008284,            0.008284,            0.008284
                  54,            0.039965,            0.083879,          0.00089253,             0.97518,             0.89368,             0.95125,             0.78439,            0.030727,            0.037643,          0.00039196,            0.008251,            0.008251,            0.008251
                  55,            0.040032,            0.083758,          0.00083559,             0.97333,             0.90054,             0.95515,             0.79453,            0.030122,            0.036644,          0.00035896,            0.008218,            0.008218,            0.008218
                  56,            0.040142,            0.083608,           0.0008361,             0.97517,             0.88623,             0.94385,             0.78234,             0.03084,            0.037918,          0.00039358,            0.008185,            0.008185,            0.008185
                  57,            0.039675,            0.083538,          0.00084615,             0.97846,             0.88902,              0.9517,             0.79221,            0.030284,            0.037613,          0.00038233,            0.008152,            0.008152,            0.008152
                  58,            0.039823,            0.082511,          0.00083625,             0.96934,             0.89711,             0.94936,             0.79113,            0.030409,            0.036606,          0.00035911,            0.008119,            0.008119,            0.008119
                  59,            0.039664,             0.08318,          0.00082786,             0.97442,             0.91034,             0.95329,             0.79062,            0.030227,            0.037193,          0.00034184,            0.008086,            0.008086,            0.008086
                  60,            0.039995,            0.082889,          0.00082203,             0.97355,             0.90444,             0.94952,             0.79601,            0.030115,            0.037277,          0.00036535,            0.008053,            0.008053,            0.008053
                  61,            0.039631,            0.082418,          0.00084904,              0.9653,             0.89869,             0.94823,              0.7825,            0.030935,            0.037476,          0.00035963,             0.00802,             0.00802,             0.00802
                  62,            0.039677,            0.083182,          0.00082692,             0.97157,              0.9052,             0.95102,             0.79403,            0.030185,            0.037926,          0.00039778,            0.007987,            0.007987,            0.007987
                  63,            0.039502,            0.082561,           0.0008244,             0.97164,             0.89766,             0.94808,             0.79556,            0.029864,             0.03698,          0.00037804,            0.007954,            0.007954,            0.007954
                  64,             0.03944,            0.082094,          0.00082051,             0.97461,              0.9033,             0.95027,             0.79855,             0.02977,             0.03688,          0.00036364,            0.007921,            0.007921,            0.007921
                  65,            0.039534,            0.081849,          0.00080267,             0.97763,             0.90163,             0.95228,             0.79565,            0.029858,            0.036224,          0.00035143,            0.007888,            0.007888,            0.007888
                  66,            0.039452,             0.08225,          0.00082578,             0.97863,             0.88917,             0.94972,             0.80134,            0.029596,            0.036232,          0.00036526,            0.007855,            0.007855,            0.007855
                  67,            0.039234,            0.081087,           0.0008214,             0.97779,             0.91044,              0.9568,             0.80348,            0.029462,             0.03717,           0.0003726,            0.007822,            0.007822,            0.007822
                  68,            0.039326,            0.081809,           0.0008036,             0.97611,             0.89979,             0.95154,             0.80162,            0.029618,            0.036568,          0.00036812,            0.007789,            0.007789,            0.007789
                  69,            0.039438,            0.081767,          0.00082265,             0.97719,              0.9021,             0.96099,             0.81041,            0.029622,            0.035759,          0.00035019,            0.007756,            0.007756,            0.007756
                  70,            0.039279,            0.081544,          0.00080483,              0.9768,             0.90191,             0.95005,             0.79733,            0.030001,            0.036003,          0.00034609,            0.007723,            0.007723,            0.007723
                  71,              0.0394,            0.081866,          0.00078989,             0.97199,             0.91412,              0.9521,              0.8042,            0.029652,            0.035835,          0.00035782,             0.00769,             0.00769,             0.00769
                  72,            0.039112,            0.081588,          0.00077916,              0.9727,             0.90538,             0.95476,             0.80652,            0.029712,            0.035843,          0.00037932,            0.007657,            0.007657,            0.007657
                  73,            0.039066,            0.081336,          0.00078366,             0.97836,             0.90282,             0.95082,             0.80137,            0.029757,            0.036934,          0.00037088,            0.007624,            0.007624,            0.007624
                  74,            0.039273,            0.080905,          0.00078722,             0.97768,             0.90823,             0.95315,             0.80588,            0.029513,            0.035332,          0.00035262,            0.007591,            0.007591,            0.007591
                  75,            0.038897,            0.080969,          0.00078821,             0.97879,             0.89904,             0.95457,             0.80525,            0.029583,            0.035187,          0.00035753,            0.007558,            0.007558,            0.007558
                  76,            0.039057,            0.080839,          0.00076216,             0.97394,             0.90201,             0.95047,             0.80801,            0.029471,            0.035164,          0.00033479,            0.007525,            0.007525,            0.007525
                  77,            0.039581,            0.080848,          0.00078465,              0.9717,             0.89942,             0.95095,             0.80131,            0.029735,            0.036026,          0.00038576,            0.007492,            0.007492,            0.007492
                  78,            0.038979,            0.080295,          0.00082771,             0.97403,             0.90413,             0.95985,             0.81227,            0.029404,            0.035454,          0.00031371,            0.007459,            0.007459,            0.007459
                  79,            0.038883,            0.079993,          0.00078473,             0.97986,              0.9138,             0.95699,             0.81416,            0.029064,            0.034966,          0.00033755,            0.007426,            0.007426,            0.007426
                  80,            0.038584,            0.079748,           0.0007875,             0.98055,             0.90811,             0.95256,             0.81029,            0.029157,            0.035583,          0.00033565,            0.007393,            0.007393,            0.007393
                  81,            0.039046,            0.080335,           0.0007816,             0.97168,             0.90255,             0.94995,             0.80528,            0.029303,            0.035294,          0.00033007,             0.00736,             0.00736,             0.00736
                  82,            0.038799,            0.080198,          0.00082014,             0.97395,             0.88931,             0.94332,             0.80482,            0.029382,            0.036453,          0.00032606,            0.007327,            0.007327,            0.007327
